icp_time,method,sampling,epsilon,rmse_list
11.657389163970947,bf,all,0.0001,"[0.01262343238900731, 0.00662911132078026, 0.007476845191408635, 0.009744824868969142, 0.012230059886535515, 0.018664422889865088, 0.016987368982584516, 0.0128427547981978, 0.009659516560892903, 0.005752011971364257, 0.005611183417943748, 0.008775908330695198, 0.011905626797646769, 0.012884187870593125, 0.012957753477641738]"
80.64859914779663,bf,all,1e-05,"[0.012823774178275921, 0.0066763476278075854, 0.007833946679939124, 0.010196102881683938, 0.013534897115856384, 0.022150168928078716, 0.017406926792896547, 0.012474353433292904, 0.010339205553638833, 0.0067115242288732805, 0.00568764306663283, 0.009088612935856223, 0.012422376928596475, 0.014308354671579442, 0.015722729411321815, 0.02336447549695208, 0.021315441876838905, 0.01126186050858442, 0.010967501819118033, 0.01330787321941789, 0.013903062382601873, 0.01143991551205025, 0.01082955076083422, 0.00927133774705022, 0.009066607372602467, 0.008384533716489484, 0.008082265239906966, 0.007895876544133323, 0.006955260215622722, 0.005934037794521809, 0.005716963502637017, 0.006520429811000895, 0.009100896962776104, 0.01100314250683955, 0.012223344691118947, 0.012991031768871245, 0.01411260518473062, 0.018240260157787427, 0.027914159034408373, 0.009822370164346127, 0.008383479778967567, 0.009930997442430058, 0.01515583174695784, 0.014788278067480835, 0.012473089559793602, 0.010931485398272269, 0.009171500617856626, 0.010848730903198149, 0.008979806555107704, 0.008805246918279155, 0.007989980564997298, 0.007312743589361387, 0.006327885347621438, 0.005945487486585622, 0.006662540845825762, 0.009107834588293194, 0.011593846786879141, 0.01292510811909387, 0.013382268471100427, 0.014849770760976209, 0.020412079417420362, 0.02855371797528685, 0.008745121401606092, 0.008801183607205674, 0.012709545910606404, 0.02073554005489404, 0.014215560138168708, 0.011784533234774663, 0.010872650590283611, 0.010144974908851771, 0.007963528968164078, 0.0071729806104426095, 0.006559513133811482, 0.006611722822053117, 0.0070106788160913935, 0.007566594008195018, 0.00791852749896344, 0.009722532172026505, 0.011413663187547163, 0.012986641633992449, 0.013804838347606598, 0.016046859923571747, 0.024105404848518912, 0.023880767808255536, 0.009390046565027827, 0.010268547708894408, 0.014594983498389193, 0.014584946537677909, 0.010519205237413334, 0.01111239979526317, 0.009277657457988515, 0.008717014686838638, 0.008521245460879272, 0.008413378328204874, 0.008116985395663506, 0.007483591269451154, 0.006456063885048282, 0.006131162560371157, 0.006682801498306977, 0.008810994602165789]"
82.13773703575134,bf,all,1e-06,"[0.01249845515043675, 0.006441885820059389, 0.007596028131659268, 0.009883052802883596, 0.012228937309769873, 0.018093793124555276, 0.019055351594543392, 0.013306531674486914, 0.00900438697748455, 0.00575496771903589, 0.005875540253851528, 0.009080154994453743, 0.013135190374389327, 0.014778127134915145, 0.01535758771454696, 0.021630873231248363, 0.025816721047346215, 0.006634566628499311, 0.006290039610437799, 0.006826089142345829, 0.008156886702941322, 0.0091879822068848, 0.009170968340575458, 0.008387834825824208, 0.006752922725533908, 0.006224996121919265, 0.005721034273519546, 0.0059106582025662295, 0.006025947675318843, 0.0058827259877148605, 0.005249234068351934, 0.004769472641637286, 0.005509635795592431, 0.007392642025718003, 0.00789319869814973, 0.008023312389983581, 0.007801595693669127, 0.007736969089630294, 0.008156923050103126, 0.0073724725994038275, 0.007162797666414121, 0.00736295264585071, 0.007431226141150294, 0.007931886318757533, 0.007573390575014245, 0.006573624733411595, 0.006474203420806624, 0.006185056696049611, 0.0062177425117299085, 0.006070483863713794, 0.005708372590522928, 0.005547316369526871, 0.005440001033041111, 0.005944574300056828, 0.007188386535489292, 0.008381290911529869, 0.00983508154661243, 0.009329293783505043, 0.00824027361126561, 0.006904481217713495, 0.006039117054586359, 0.005327780456467674, 0.005667951862008771, 0.007544309544633532, 0.00933931072403155, 0.011415811952884948, 0.011895488634535156, 0.011764889760451312, 0.012830224705627231, 0.016737662559913293, 0.01820737935255195, 0.01162828914870213, 0.009033054664681009, 0.009559074761648854, 0.01274712117357307, 0.014523567668159187, 0.013938074689726708, 0.01451705131419141, 0.011470834065135513, 0.01103672241315572, 0.008705978982367331, 0.006128486848707633, 0.004787473517865784, 0.00625662164981251, 0.009290666349779824, 0.011574508357366418, 0.013046597565599534, 0.01364465622467606, 0.014159444696209118, 0.017794306748294263, 0.025128922880906197, 0.006969375214147824, 0.007634601781175464, 0.00891534512644373, 0.01183168975248402, 0.012617803172795091, 0.010222759001262247, 0.0103443595354958, 0.008983319363013552, 0.009116609425298995]"
0.26105594635009766,kd,all,0.0001,"[0.012711982614695447, 0.006532894089184898, 0.007763916517240709, 0.010482397632910359, 0.01291027175215866, 0.02147772008780648, 0.01696261694724324, 0.012592126436837036, 0.00787617217289285, 0.005031879679282111, 0.00580673170831679, 0.009472232208771577, 0.012301092988370767, 0.01393597657383289, 0.015712441997455792, 0.021398130370351463, 0.028673816476438314, 0.008222048273924101, 0.00780878718156645, 0.010459800836945444, 0.0195127385757052, 0.01263733467496777, 0.01201661382177725, 0.010281000318041168, 0.01085613915270773, 0.009903080198141193, 0.00929236299619982, 0.008332693549706794, 0.006660013588981789, 0.0057255178707985655, 0.006495837970063096, 0.011138314470543646, 0.015184367305378418, 0.01737658354075579, 0.020814325418052847, 0.03300909577665508, 0.04412435268392004, 0.03240637949068542, 0.02177304244893471, 0.035843343497129414, 0.06469503534902259, 0.03304822054239816, 0.013904999060275739, 0.012731072379701948, 0.01172447339204324, 0.012968446004355668, 0.018695767432328387, 0.023157339758085923, 0.01861753354442049, 0.01658715198033667, 0.014300575999911287, 0.012805235188931242, 0.011239095522053908, 0.0098121282320537, 0.008596090535963451, 0.007647464547696986, 0.007648344436517408]"
0.4104189872741699,kd,all,1e-05,"[0.012716031082985808, 0.006568861082229556, 0.007670106240416452, 0.010008394280918438, 0.012948387535881473, 0.02020420222972403, 0.022181462376187965, 0.011184384907174206, 0.0071234165090052134, 0.005060514676353468, 0.007332559844310359, 0.009959684641458771, 0.011951251144754402, 0.012205816822767725, 0.013370332035067035, 0.01767723396923151, 0.018522353188290906, 0.010368892030731842, 0.007237755190531642, 0.0073058303750511994, 0.008062686827190154, 0.00964815353642197, 0.01145863424171201, 0.010620645716022632, 0.01165565971388761, 0.012085376439925832, 0.01114648709922697, 0.010154470751491623, 0.007751605833373632, 0.0057059340969132346, 0.005000255234306979, 0.0074278948372146335, 0.010323127376966723, 0.012890383023460336, 0.01390253989855851, 0.014054565683638647, 0.017069073272687092, 0.025938889488272925, 0.02243356041313104, 0.013557246894398352, 0.014016989263807076, 0.01928713350689083, 0.01560853376727225, 0.011729859084511754, 0.011908347768192107, 0.009914382362029186, 0.009322456258262645, 0.008751900008376053, 0.008480851014072298, 0.007758733000630926, 0.0069028942140067565, 0.006554520499623248, 0.006696662506119858, 0.006883557464167382, 0.009908744221833918, 0.012604511455567397, 0.014081194506171945, 0.015173103302687618, 0.015488204951064444, 0.023087650620449197, 0.02457541107837802, 0.0065316580099748865, 0.006092483639736386, 0.006256206984061468, 0.006163127863088615, 0.005850109260918727, 0.005573051041834058, 0.005218187058984004, 0.005015105008540815, 0.0047433751758056315, 0.004609656586775191, 0.004660107205505241, 0.00576669259297094, 0.007267705159799681, 0.008455090868093054, 0.008263309942318706, 0.006980791456004627, 0.005630554661582317, 0.004717506877890505, 0.005352066050911128, 0.007055477936489268, 0.008193124669654281, 0.008410349588308346, 0.0084272292450844, 0.008607648789609984, 0.008401420828138972, 0.008037758786451119, 0.008321600915294764, 0.00900309621156283, 0.009571011533397178, 0.008996803265962463, 0.007811538693249469, 0.00660555233186576, 0.0062327058707577045, 0.006171481737773565, 0.006540918434951884, 0.006923681255195016, 0.007510680841068801, 0.007867483852099871, 0.007490627216454425]"
0.33344101905822754,kd,all,1e-06,"[0.012614613697172525, 0.006536741476241952, 0.007623665082442806, 0.009723036657589954, 0.012353939689138931, 0.01948887854745154, 0.016922852507977943, 0.012987093697059035, 0.008652380213482051, 0.005125582272384189, 0.005485398465955664, 0.00858747258111651, 0.011189729879796896, 0.012081609265079918, 0.012525188489538517, 0.014460244533766018, 0.01998153556349183, 0.01773241989857985, 0.010271024686262384, 0.007784910996288799, 0.007659373780077108, 0.009505433931896021, 0.012312354506456393, 0.011768141627490495, 0.011360501784161823, 0.012357790752907754, 0.01185227654332122, 0.010996317879458567, 0.008802417533304322, 0.006863194383924424, 0.005525045997317058, 0.005432793318871177, 0.008041125246099859, 0.010867226059920283, 0.012869594709854123, 0.013090255990259321, 0.013592364912698345, 0.01666857408417277, 0.025820407611889584, 0.014451874626375195, 0.010256869762101741, 0.008976977505039618, 0.0087638648943675, 0.010114367710506751, 0.01164844032284757, 0.011202031113243428, 0.011217507343449474, 0.0122804043835079, 0.011409408789477566, 0.010308907897777423, 0.008152666309120109, 0.006180557613336631, 0.004962494288414807, 0.006984173166448185, 0.010340795175162003, 0.012845404023905483, 0.01350622556682468, 0.01387294044562089, 0.013821635922629751, 0.019032042987459273, 0.022826396696320774, 0.007986226075295609, 0.007068984158514465, 0.007360319108774229, 0.007946780651800909, 0.009158108008105395, 0.01011074121010101, 0.010159134686696956, 0.01006678646616272, 0.010502769352794773, 0.01187869789911587, 0.011201940949658047, 0.009673645079135323, 0.007387235704474353, 0.005368088253853946, 0.005811347552590675, 0.00915099878169442, 0.01263400884398084, 0.014862435633050786, 0.01583184367099557, 0.015728578826755112, 0.022449184289611363, 0.027966704046795673, 0.0067667155347344715, 0.006150109544015689, 0.006379945286980081, 0.006907333107291558, 0.008418543546569289, 0.009299768267731148, 0.009082742170498155, 0.009287704325743402, 0.008532377230514133, 0.007267569552943221, 0.00686245954246073, 0.006471373345780893, 0.006254354437636612, 0.00535502015484141, 0.004890928552717406, 0.0067072585008436944, 0.008850689945295214]"
79.12200427055359,bf,uni,0.0001,"[0.011815336490847062, 0.006558309858733387, 0.0064024694977718, 0.007259920032351983, 0.008767907297901324, 0.01247230990904067, 0.018855634669601454, 0.017997699801396445, 0.011369014769255878, 0.010246970482533747, 0.008121574621689574, 0.0062885112174448565, 0.007065272334549896, 0.011051277651578328, 0.013742987516277049, 0.014539836477072536, 0.015278546209458716, 0.01685670426078473, 0.01180478637284562, 0.008535094951421218, 0.008281951170700689, 0.008276477736564817]"
82.84861588478088,bf,uni,1e-05,"[0.012597736562513768, 0.0065212261613766895, 0.007200654402986567, 0.009385989424919458, 0.011743571344389012, 0.01255343458110852, 0.014956366381911904, 0.01396081618862013, 0.009154618388361957, 0.004237323450892243, 0.004137352081581024, 0.005389523902261232, 0.00603621844563092, 0.005346217035792782, 0.00461889153577461, 0.0039251600955671475, 0.003499951689284903, 0.003418733164080585, 0.0033742450173097137, 0.0033445604928586553, 0.003301519471730291, 0.0032003310001910684, 0.0030602465444935084, 0.0029341798392813084, 0.0029530048762738395, 0.002875615141530911, 0.0027681099968464257, 0.0026590572337163595, 0.0025746308299943056, 0.0025111656761557656, 0.0024955806369638036, 0.002489880334347815]"
198.30363416671753,bf,uni,1e-06,"[0.011954278133565038, 0.0065730033339526685, 0.006720269355089021, 0.00851223892006365, 0.01125095010707199, 0.014512086142102924, 0.023767824731412084, 0.010563516513932064, 0.009419186329366284, 0.005631953488686085, 0.0035139731434586574, 0.005247750283551974, 0.007552693275040855, 0.009130991720037857, 0.009003795258038887, 0.0077797857910557695, 0.006744829732060764, 0.005863512560216209, 0.005177966848071712, 0.005085442755352057, 0.005310930483561426, 0.005609848666831439, 0.00618565133589735, 0.006236123820770331, 0.005986131478504633, 0.005642174465732353, 0.005326940182747827, 0.004992230474363739, 0.004746996640192086, 0.00470340549332106, 0.004839471821129955, 0.005244502289443779, 0.006029747723112993, 0.006637979924127238, 0.007218960494185779, 0.007368154641198306, 0.007374349950125571, 0.007176156886448609, 0.0067897488276218885, 0.006210008381005003, 0.005436757001826832, 0.004752982943593513, 0.005120937344188535, 0.007089058460418636, 0.008703749142593207, 0.00943330124540995, 0.009032502356713263, 0.008311140846187665, 0.007433307814042047, 0.0064327096617242925, 0.006073623465522962, 0.005970978812216618, 0.006215243374468643, 0.0066559487640821605, 0.006708738937206897, 0.006430924138195288, 0.006068844492315033, 0.005718791271099619, 0.005476312454108677, 0.00533064131550838, 0.005273984549554824, 0.005420390813223073, 0.00562391660883514, 0.0058416494762754435, 0.005859045066853907, 0.005791537893850682, 0.005666880316802272, 0.005388549561992164, 0.005545114248011036, 0.006350704536255062, 0.007620136720424442, 0.007931918061981897, 0.007661206856401002, 0.0066285933091107955, 0.005408347043946145, 0.0047531533737416995, 0.006182539951277188, 0.008723268772739276, 0.010137093805321983, 0.010118205659752494, 0.009364050677741395, 0.008233771110457228, 0.00763564492082196, 0.007362362010956282, 0.0076724495170152835, 0.007870580185811752, 0.007893522548429148, 0.007173995301591685, 0.0067367500697300105, 0.006431189842324229, 0.006206469823577961, 0.006063418685512547, 0.005797118222254779, 0.005776550135987376, 0.0056490340262065905, 0.005725384476846637, 0.005788971719610723, 0.005849639248961297, 0.005633512329756496, 0.0054733680583394125]"
0.052121877670288086,kd,uni,0.0001,"[0.011410589278804116, 0.006428665011194994, 0.0060283586473818766, 0.006582882258457366, 0.007277834327490853, 0.00997586979097966, 0.014404763821787533, 0.019685223627040557, 0.012523757640108225, 0.007340849734954776, 0.004647382234913975, 0.0058531718213145475, 0.00917919780129423, 0.011802153643784064, 0.01162532508904199, 0.009710782565757579, 0.008713526435315576, 0.008704707803130322]"
