icp_time,method,sampling,epsilon,rmse_list
28.25768780708313,bf,all,0.001,"[0.011800225737991814, 0.006285272295944336, 0.006178924164030071]"
141.49123191833496,bf,all,1e-05,"[0.011144912584283519, 0.0063318080497307035, 0.006381769725343137, 0.007013469422909743, 0.00915728656235703, 0.011792494871932534, 0.019680751181485875, 0.020801690879170567, 0.012347353265267364, 0.007713806247947929, 0.004322388220023377, 0.004492501840146051, 0.007985885922734928, 0.010503892679785248, 0.0115755782594435]"
143.58704113960266,bf,all,1e-06,"[0.011371451312274792, 0.006226715771901046, 0.006471063652649346, 0.007666653534140883, 0.009891137779857869, 0.012561949539965927, 0.01851877674946538, 0.018820170803375565, 0.010081102524991097, 0.0055102366489927545, 0.0034553522891315543, 0.004994570993473195, 0.0063953983104536125, 0.007147475070890687, 0.006562135373717087]"
143.84515261650085,bf,all,1e-07,"[0.011176832422244517, 0.006382572581968925, 0.0065512302004657715, 0.007289164664405731, 0.009436801538710396, 0.011963667245652492, 0.01859202639055361, 0.024804813779281402, 0.013396405685382291, 0.010420433898936753, 0.007408887909023329, 0.00539331855730013, 0.0070960188288764535, 0.01095532683811223, 0.01315526525967363]"
0.8205258846282959,kd,all,0.001,"[0.010353559504722144, 0.005715071219065098, 0.005717246273327757]"
0.9081578254699707,kd,all,1e-05,"[0.010343476363756756, 0.005719334238287281, 0.005712715822264744]"
3.935181140899658,kd,all,1e-06,"[0.01033962527365287, 0.0057227582353866204, 0.0057161867418128514, 0.006286517195931089, 0.007962135697820347, 0.010171654884076007, 0.014966220509589243, 0.02345814509500332, 0.014749959223407697, 0.010332961096170526, 0.006481809437749629, 0.003407700204587003, 0.004309685817868142, 0.007643567505470002, 0.010055014803510079]"
3.915369987487793,kd,all,1e-07,"[0.010339012687630973, 0.005706654000033957, 0.005724393012362163, 0.0062960679711722275, 0.007966745445173827, 0.010190497265286032, 0.015021456983008568, 0.02334614194409611, 0.014667070568181733, 0.010304367448632236, 0.006450003119062574, 0.0033959094178591023, 0.004360286098228942, 0.007715006345165983, 0.010114615327483641]"
12.801144123077393,bf,uni,0.001,"[0.011146838051219259, 0.005903733558677119, 0.006178349533698469]"
64.3669011592865,bf,uni,1e-05,"[0.01132184604652868, 0.006391331584703658, 0.006548282630253619, 0.007616660556882138, 0.010042013696732863, 0.012090491265169352, 0.02060483779693172, 0.02325257135351621, 0.014847912179384614, 0.011117087919432094, 0.008534977305039512, 0.006758424536851103, 0.007911524943126682, 0.013057682380518363, 0.01735463791027061]"
62.85352087020874,bf,uni,1e-06,"[0.012198745096912173, 0.006099786071033427, 0.006581970064665037, 0.007516752995264248, 0.009419837108250189, 0.014379940363252894, 0.020779923114354042, 0.017230841292494404, 0.008699520712338132, 0.0051163931846274465, 0.00539487152558887, 0.009136527201523817, 0.011541401961671489, 0.01330368682866787, 0.013159547370990274]"
59.61163806915283,bf,uni,1e-07,"[0.011752560597432193, 0.006268980146566442, 0.006465657312974638, 0.007354744824200406, 0.009288271329806455, 0.011699471213330268, 0.016508259476129824, 0.012054165683057488, 0.007914850496685647, 0.005064545861843375, 0.003085246342167068, 0.004411573370488654, 0.006245490194613698, 0.007487693785294415, 0.0074341613607588515]"
0.014425277709960938,kd,uni,0.001,"[0.012427251932983982, 0.006121971602356958, 0.006563159018318442]"
0.056780099868774414,kd,uni,1e-05,"[0.011506839445397215, 0.006200265723243836, 0.006163657734390514, 0.00664210024214878, 0.007767451261501677, 0.01068323893183495, 0.01619385047736968, 0.017813617160894555, 0.011982629316559105, 0.008098347631152147, 0.004683986558412505, 0.006295196217262168, 0.009411496382393731, 0.01175421618151215, 0.012142667614448677]"
0.05840301513671875,kd,uni,1e-06,"[0.011348662413627772, 0.00671441894380191, 0.006435622996105922, 0.007464862841270456, 0.00986350436965505, 0.012334008772695238, 0.019613063076112054, 0.026288338878647358, 0.010407189682396144, 0.008545003249086332, 0.005667498416444452, 0.005141130076839971, 0.00823279114312303, 0.010676808015115065, 0.011493398174034917]"
0.06685805320739746,kd,uni,1e-07,"[0.01236911594328911, 0.006277617665772718, 0.0065645816333199, 0.007904241726949259, 0.0107166132945866, 0.01264276902916474, 0.01908344488115824, 0.02705371079946483, 0.015778927818695554, 0.009591605825520969, 0.006985377631273478, 0.0068248592288185535, 0.01145236878921863, 0.015094419036523412, 0.015568344030511983]"
11.855379819869995,bf,rand,0.001,"[0.010857217272596306, 0.006887789238410411, 0.0068570453129218655]"
61.31435513496399,bf,rand,1e-05,"[0.011314860172894561, 0.006543860047110765, 0.006815304285208258, 0.007779988162288875, 0.010571666200434685, 0.011728077247924915, 0.019360251994615878, 0.022868258520382205, 0.011368487574251709, 0.007614964412146197, 0.005624131895657211, 0.005328047976654182, 0.008288226063069679, 0.010236732991985097, 0.009818123281265677]"
63.7952299118042,bf,rand,1e-06,"[0.011468313604910062, 0.006343204237110014, 0.006659451809034123, 0.00726408731911966, 0.008735040107726941, 0.010948614265190173, 0.019125113789387183, 0.022644747986877364, 0.010970057193352591, 0.006407911306206589, 0.0042260829869613875, 0.006828270146043712, 0.009852518082984079, 0.010765614824367024, 0.01084493955473118]"
61.03896999359131,bf,rand,1e-07,"[0.011022357747713098, 0.006423238130441401, 0.006525947607178296, 0.00737619256359198, 0.009703117007622645, 0.012611894791410179, 0.01851223141590186, 0.02499391681803207, 0.013835561091668482, 0.008396856316289428, 0.00508401679528051, 0.005518415096325667, 0.009924166351057593, 0.012059149830147909, 0.012765845833111914]"
0.02326822280883789,kd,rand,0.001,"[0.011883144427182914, 0.00634709685628884, 0.006572298279111637]"
0.24872493743896484,kd,rand,1e-05,"[0.012042689041837156, 0.00617740467316164, 0.006573739569593513, 0.0072340779554092545, 0.008988765220444828, 0.011666376757107052, 0.016986898147985152, 0.018019370726230045, 0.010747876818788412, 0.008195947776910632, 0.005399017213253222, 0.006421979503646716, 0.0098313305531872, 0.01268847619650928, 0.012807857405723166]"
0.16437411308288574,kd,rand,1e-06,"[0.011134815762604383, 0.006544266616035874, 0.006508949938740799, 0.007260162861672196, 0.009942706960550225, 0.012949183802557888, 0.02567796233877425, 0.019178884473027607, 0.013088746300106905, 0.0069382729687552675, 0.0054589579453772795, 0.008999998075589282, 0.012136022239419574, 0.01241513280997794, 0.012799705545414469]"
0.15234112739562988,kd,rand,1e-07,"[0.011404765293787011, 0.0064871380278483945, 0.006325577778461701, 0.007334869753465553, 0.009354831002596271, 0.012604122961987697, 0.018578505667943147, 0.02499978543980088, 0.017994663265094017, 0.0069794130221650175, 0.005696836289882201, 0.007493266968265651, 0.011802509983717527, 0.013535609227084218, 0.01271045400755368]"
0.005435943603515625,bf,multires,0.001,"[0.037619008344774725, 0.01988998723302672, 0.01988998723302672]"
0.015105009078979492,bf,multires,1e-05,"[0.028400668316382004, 0.0717608882914257, 0.024611394104983204, 0.03174905514406091, 0.030662384736417025, 0.028717739286480817, 0.02727061259114193, 0.05297158056741321, 0.11314869713538495, 0.018324747981569408, 0.06744151286020789, 0.1162720566571136, 0.030755129616325767, 0.030755129616325767]"
0.005412101745605469,bf,multires,1e-06,"[0.04959893445504152, 0.05609027552444286, 0.032174145578376605, 0.0321741455783766]"
0.010350227355957031,bf,multires,1e-07,"[0.022532208768388018, 0.04781562405649353, 0.03394271959060023, 0.16822695121322306, 0.017036111244987558, 0.017036111244987554]"
0.009387016296386719,kd,multires,0.001,"[0.03401288806044571, 0.031268917793383574, 0.11105732143801991, 0.013545426676189841, 0.013545426676189843]"
0.0069522857666015625,kd,multires,1e-05,"[0.03444598289555245, 0.04880581103298472, 0.09601050160704147, 0.019483832914960617, 0.01948383291496062]"
0.01587200164794922,kd,multires,1e-06,"[0.030588178312497185, 0.06595795480230891, 0.09035004229756503, 0.017559818169619157, 0.052547910433590805, 0.1832935830469725, 0.36846262880645836, 0.5705349751017597, 0.022467135178322575, 0.07834016658440313, 0.1368100355442734, 0.024452919854003552, 0.0859521435682829, 0.1531445127555999, 0.024386365294038842]"
0.015642166137695312,kd,multires,1e-07,"[0.025626858155410756, 0.04159465792159217, 0.010864773568638597, 0.023035730653495574, 0.09250740569927755, 0.04837968529057881, 0.07308153361054044, 0.06535143526964457, 0.022341111703886453, 0.0688044535993915, 0.14289107005459123, 0.012416531278632638, 0.054603707620735686, 0.033525882307895494, 0.08275003882582939]"
15.889541149139404,bf,grad,0.001,"[0.016666404460996907, 0.010653368559445155, 0.007239442426166932, 0.0077908132748861336]"
60.91557335853577,bf,grad,1e-05,"[0.016666404460996907, 0.010653368559445155, 0.007239442426166932, 0.0077908132748861336, 0.010087477717534432, 0.010866211604019523, 0.01252799537911198, 0.011739880498707934, 0.012536551955056884, 0.01070962761086145, 0.009404625879029582, 0.008716476516034915, 0.008038481547966303, 0.007599998634663623, 0.007856790962160215]"
60.77867317199707,bf,grad,1e-06,"[0.016666404460996907, 0.010653368559445155, 0.007239442426166932, 0.0077908132748861336, 0.010087477717534432, 0.010866211604019523, 0.01252799537911198, 0.011739880498707934, 0.012536551955056884, 0.01070962761086145, 0.009404625879029582, 0.008716476516034915, 0.008038481547966303, 0.007599998634663623, 0.007856790962160215]"
65.4321939945221,bf,grad,1e-07,"[0.016666404460996907, 0.010653368559445155, 0.007239442426166932, 0.0077908132748861336, 0.010087477717534432, 0.010866211604019523, 0.01252799537911198, 0.011739880498707934, 0.012536551955056884, 0.01070962761086145, 0.009404625879029582, 0.008716476516034915, 0.008038481547966303, 0.007599998634663623, 0.007856790962160215]"
